blockSize_bytes,cacheSize_bytes,ramSize_bytes,placementPolicy,replacementPolicy,program,hits,misses,hitRatio,filename,group
8,256,280,4-way_set_associative,FIFO,matMul,571,41,0.933007,results/2022-10-06T1955/matMul/data/FIFO_A4_B1_C32_1665078922035.csv,0
8,256,280,4-way_set_associative,LFU,matMul,545,67,0.890523,results/2022-10-06T1955/matMul/data/LFU_A4_B1_C32_1665078922042.csv,0
8,256,280,4-way_set_associative,MRU,matMul,562,50,0.918301,results/2022-10-06T1955/matMul/data/MRU_A4_B1_C32_1665078922051.csv,0
8,256,280,4-way_set_associative,PLRU,matMul,577,35,0.942810,results/2022-10-06T1955/matMul/data/PLRU_A4_B1_C32_1665078922055.csv,0
8,256,280,4-way_set_associative,SLRU,matMul,481,131,0.785948,results/2022-10-06T1955/matMul/data/SLRU_A4_B1_C32_1665078922063.csv,0
8,256,1024,4-way_set_associative,FIFO,matMul,860,1180,0.421569,results/2022-10-06T1955/matMul/data/FIFO_A4_B1_C32_1665078922113.csv,1
8,256,1024,4-way_set_associative,LFU,matMul,647,1393,0.317157,results/2022-10-06T1955/matMul/data/LFU_A4_B1_C32_1665078922144.csv,1
8,256,1024,4-way_set_associative,MRU,matMul,839,1201,0.411275,results/2022-10-06T1955/matMul/data/MRU_A4_B1_C32_1665078922172.csv,1
8,256,1024,4-way_set_associative,PLRU,matMul,1016,1024,0.498039,results/2022-10-06T1955/matMul/data/PLRU_A4_B1_C32_1665078922218.csv,1
8,256,1024,4-way_set_associative,SLRU,matMul,952,1088,0.466667,results/2022-10-06T1955/matMul/data/SLRU_A4_B1_C32_1665078922241.csv,1
8,256,272,4-way_set_associative,FIFO,matMul,539,37,0.935764,results/2022-10-06T1955/matMul/data/FIFO_A4_B1_C32_1665078922308.csv,2
8,256,272,4-way_set_associative,LFU,matMul,512,64,0.888889,results/2022-10-06T1955/matMul/data/LFU_A4_B1_C32_1665078922321.csv,2
8,256,272,4-way_set_associative,MRU,matMul,529,47,0.918403,results/2022-10-06T1955/matMul/data/MRU_A4_B1_C32_1665078922332.csv,2
8,256,272,4-way_set_associative,PLRU,matMul,540,36,0.937500,results/2022-10-06T1955/matMul/data/PLRU_A4_B1_C32_1665078922338.csv,2
8,256,272,4-way_set_associative,SLRU,matMul,452,124,0.784722,results/2022-10-06T1955/matMul/data/SLRU_A4_B1_C32_1665078922358.csv,2
8,256,496,4-way_set_associative,FIFO,matMul,742,210,0.779412,results/2022-10-06T1955/matMul/data/FIFO_A4_B1_C32_1665078922371.csv,3
8,256,496,4-way_set_associative,LFU,matMul,546,406,0.573529,results/2022-10-06T1955/matMul/data/LFU_A4_B1_C32_1665078922380.csv,3
8,256,496,4-way_set_associative,MRU,matMul,668,284,0.701681,results/2022-10-06T1955/matMul/data/MRU_A4_B1_C32_1665078922405.csv,3
8,256,496,4-way_set_associative,PLRU,matMul,782,170,0.821429,results/2022-10-06T1955/matMul/data/PLRU_A4_B1_C32_1665078922420.csv,3
8,256,496,4-way_set_associative,SLRU,matMul,442,510,0.464286,results/2022-10-06T1955/matMul/data/SLRU_A4_B1_C32_1665078922432.csv,3
8,256,1200,4-way_set_associative,FIFO,matMul,900,1350,0.400000,results/2022-10-06T1955/matMul/data/FIFO_A4_B1_C32_1665078922450.csv,4
8,256,1200,4-way_set_associative,LFU,matMul,606,1644,0.269333,results/2022-10-06T1955/matMul/data/LFU_A4_B1_C32_1665078922482.csv,4
8,256,1200,4-way_set_associative,MRU,matMul,723,1527,0.321333,results/2022-10-06T1955/matMul/data/MRU_A4_B1_C32_1665078922522.csv,4
8,256,1200,4-way_set_associative,PLRU,matMul,1099,1151,0.488444,results/2022-10-06T1955/matMul/data/PLRU_A4_B1_C32_1665078922550.csv,4
8,256,1200,4-way_set_associative,SLRU,matMul,1050,1200,0.466667,results/2022-10-06T1955/matMul/data/SLRU_A4_B1_C32_1665078922576.csv,4
8,256,840,4-way_set_associative,FIFO,matMul,810,1026,0.441176,results/2022-10-06T1955/matMul/data/FIFO_A4_B1_C32_1665078922608.csv,5
8,256,840,4-way_set_associative,LFU,matMul,724,1112,0.394336,results/2022-10-06T1955/matMul/data/LFU_A4_B1_C32_1665078922630.csv,5
8,256,840,4-way_set_associative,MRU,matMul,975,861,0.531046,results/2022-10-06T1955/matMul/data/MRU_A4_B1_C32_1665078922657.csv,5
8,256,840,4-way_set_associative,PLRU,matMul,881,955,0.479847,results/2022-10-06T1955/matMul/data/PLRU_A4_B1_C32_1665078922681.csv,5
8,256,840,4-way_set_associative,SLRU,matMul,860,976,0.468410,results/2022-10-06T1955/matMul/data/SLRU_A4_B1_C32_1665078922701.csv,5
8,256,720,4-way_set_associative,FIFO,matMul,576,768,0.428571,results/2022-10-06T1955/matMul/data/FIFO_A4_B1_C32_1665078922728.csv,6
8,256,720,4-way_set_associative,LFU,matMul,507,837,0.377232,results/2022-10-06T1955/matMul/data/LFU_A4_B1_C32_1665078922742.csv,6
8,256,720,4-way_set_associative,MRU,matMul,691,653,0.514137,results/2022-10-06T1955/matMul/data/MRU_A4_B1_C32_1665078922761.csv,6
8,256,720,4-way_set_associative,PLRU,matMul,669,675,0.497768,results/2022-10-06T1955/matMul/data/PLRU_A4_B1_C32_1665078922774.csv,6
8,256,720,4-way_set_associative,SLRU,matMul,624,720,0.464286,results/2022-10-06T1955/matMul/data/SLRU_A4_B1_C32_1665078922789.csv,6
8,256,768,4-way_set_associative,FIFO,matMul,674,862,0.438802,results/2022-10-06T1955/matMul/data/FIFO_A4_B1_C32_1665078922806.csv,7
