blockSize_bytes,cacheSize_bytes,ramSize_bytes,placementPolicy,replacementPolicy,program,hits,misses,hitRatio,filename,group
8,256,528,4-way_set_associative,FIFO,matMul,524,540,0.492481,results/2022-10-06T1943/matMul/data/FIFO_A4_B1_C32_1665078183415.csv,0
8,256,528,4-way_set_associative,LFU,matMul,487,577,0.457707,results/2022-10-06T1943/matMul/data/LFU_A4_B1_C32_1665078183422.csv,0
8,256,528,4-way_set_associative,MRU,matMul,711,353,0.668233,results/2022-10-06T1943/matMul/data/MRU_A4_B1_C32_1665078183434.csv,0
8,256,528,4-way_set_associative,PLRU,matMul,578,486,0.543233,results/2022-10-06T1943/matMul/data/PLRU_A4_B1_C32_1665078183443.csv,0
8,256,528,4-way_set_associative,SLRU,matMul,504,560,0.473684,results/2022-10-06T1943/matMul/data/SLRU_A4_B1_C32_1665078183452.csv,0
8,256,768,4-way_set_associative,FIFO,matMul,648,864,0.428571,results/2022-10-06T1943/matMul/data/FIFO_A4_B1_C32_1665078183462.csv,1
8,256,768,4-way_set_associative,LFU,matMul,557,955,0.368386,results/2022-10-06T1943/matMul/data/LFU_A4_B1_C32_1665078183478.csv,1
8,256,768,4-way_set_associative,MRU,matMul,790,722,0.522487,results/2022-10-06T1943/matMul/data/MRU_A4_B1_C32_1665078183493.csv,1
8,256,768,4-way_set_associative,PLRU,matMul,753,759,0.498016,results/2022-10-06T1943/matMul/data/PLRU_A4_B1_C32_1665078183506.csv,1
8,256,768,4-way_set_associative,SLRU,matMul,702,810,0.464286,results/2022-10-06T1943/matMul/data/SLRU_A4_B1_C32_1665078183520.csv,1
8,256,304,4-way_set_associative,FIFO,matMul,668,52,0.927778,results/2022-10-06T1943/matMul/data/FIFO_A4_B1_C32_1665078183560.csv,2
8,256,304,4-way_set_associative,LFU,matMul,625,95,0.868056,results/2022-10-06T1943/matMul/data/LFU_A4_B1_C32_1665078183566.csv,2
8,256,304,4-way_set_associative,MRU,matMul,645,75,0.895833,results/2022-10-06T1943/matMul/data/MRU_A4_B1_C32_1665078183576.csv,2
8,256,304,4-way_set_associative,PLRU,matMul,682,38,0.947222,results/2022-10-06T1943/matMul/data/PLRU_A4_B1_C32_1665078183581.csv,2
8,256,304,4-way_set_associative,SLRU,matMul,477,243,0.662500,results/2022-10-06T1943/matMul/data/SLRU_A4_B1_C32_1665078183588.csv,2
8,256,1240,4-way_set_associative,FIFO,matMul,989,1411,0.412083,results/2022-10-06T1943/matMul/data/FIFO_A4_B1_C32_1665078183595.csv,3
8,256,1240,4-way_set_associative,LFU,matMul,951,1449,0.396250,results/2022-10-06T1943/matMul/data/LFU_A4_B1_C32_1665078183618.csv,3
8,256,1240,4-way_set_associative,MRU,matMul,1153,1247,0.480417,results/2022-10-06T1943/matMul/data/MRU_A4_B1_C32_1665078183643.csv,3
8,256,1240,4-way_set_associative,PLRU,matMul,1041,1359,0.433750,results/2022-10-06T1943/matMul/data/PLRU_A4_B1_C32_1665078183661.csv,3
8,256,1240,4-way_set_associative,SLRU,matMul,1108,1292,0.461667,results/2022-10-06T1943/matMul/data/SLRU_A4_B1_C32_1665078183682.csv,3
8,256,992,4-way_set_associative,FIFO,matMul,784,1120,0.411765,results/2022-10-06T1943/matMul/data/FIFO_A4_B1_C32_1665078183704.csv,4
8,256,992,4-way_set_associative,LFU,matMul,685,1219,0.359769,results/2022-10-06T1943/matMul/data/LFU_A4_B1_C32_1665078183719.csv,4
8,256,992,4-way_set_associative,MRU,matMul,871,1033,0.457458,results/2022-10-06T1943/matMul/data/MRU_A4_B1_C32_1665078183738.csv,4
8,256,992,4-way_set_associative,PLRU,matMul,909,995,0.477416,results/2022-10-06T1943/matMul/data/PLRU_A4_B1_C32_1665078183752.csv,4
8,256,992,4-way_set_associative,SLRU,matMul,875,1029,0.459559,results/2022-10-06T1943/matMul/data/SLRU_A4_B1_C32_1665078183766.csv,4
8,256,544,4-way_set_associative,FIFO,matMul,841,299,0.737719,results/2022-10-06T1943/matMul/data/FIFO_A4_B1_C32_1665078183783.csv,5
8,256,544,4-way_set_associative,LFU,matMul,588,552,0.515789,results/2022-10-06T1943/matMul/data/LFU_A4_B1_C32_1665078183792.csv,5
8,256,544,4-way_set_associative,MRU,matMul,861,279,0.755263,results/2022-10-06T1943/matMul/data/MRU_A4_B1_C32_1665078183803.csv,5
8,256,544,4-way_set_associative,PLRU,matMul,892,248,0.782456,results/2022-10-06T1943/matMul/data/PLRU_A4_B1_C32_1665078183812.csv,5
8,256,544,4-way_set_associative,SLRU,matMul,532,608,0.466667,results/2022-10-06T1943/matMul/data/SLRU_A4_B1_C32_1665078183822.csv,5
8,256,1088,4-way_set_associative,FIFO,matMul,952,1360,0.411765,results/2022-10-06T1943/matMul/data/FIFO_A4_B1_C32_1665078183835.csv,6
8,256,1088,4-way_set_associative,LFU,matMul,799,1513,0.345588,results/2022-10-06T1943/matMul/data/LFU_A4_B1_C32_1665078183857.csv,6
8,256,1088,4-way_set_associative,MRU,matMul,1039,1273,0.449394,results/2022-10-06T1943/matMul/data/MRU_A4_B1_C32_1665078183885.csv,6
8,256,1088,4-way_set_associative,PLRU,matMul,1104,1208,0.477509,results/2022-10-06T1943/matMul/data/PLRU_A4_B1_C32_1665078183911.csv,6
8,256,1088,4-way_set_associative,SLRU,matMul,1064,1248,0.460208,results/2022-10-06T1943/matMul/data/SLRU_A4_B1_C32_1665078183933.csv,6
8,256,1360,4-way_set_associative,FIFO,matMul,1186,1694,0.411806,results/2022-10-06T1943/matMul/data/FIFO_A4_B1_C32_1665078183959.csv,7
8,256,1360,4-way_set_associative,LFU,matMul,1125,1755,0.390625,results/2022-10-06T1943/matMul/data/LFU_A4_B1_C32_1665078183988.csv,7
8,256,1360,4-way_set_associative,MRU,matMul,1373,1507,0.476736,results/2022-10-06T1943/matMul/data/MRU_A4_B1_C32_1665078184027.csv,7
8,256,1360,4-way_set_associative,PLRU,matMul,1249,1631,0.433681,results/2022-10-06T1943/matMul/data/PLRU_A4_B1_C32_1665078184056.csv,7
8,256,1360,4-way_set_associative,SLRU,matMul,1329,1551,0.461458,results/2022-10-06T1943/matMul/data/SLRU_A4_B1_C32_1665078184083.csv,7
8,256,1200,4-way_set_associative,FIFO,matMul,922,1318,0.411607,results/2022-10-06T1943/matMul/data/FIFO_A4_B1_C32_1665078184116.csv,8
8,256,1200,4-way_set_associative,LFU,matMul,890,1350,0.397321,results/2022-10-06T1943/matMul/data/LFU_A4_B1_C32_1665078184137.csv,8
8,256,1200,4-way_set_associative,MRU,matMul,1079,1161,0.481696,results/2022-10-06T1943/matMul/data/MRU_A4_B1_C32_1665078184165.csv,8
8,256,1200,4-way_set_associative,PLRU,matMul,972,1268,0.433929,results/2022-10-06T1943/matMul/data/PLRU_A4_B1_C32_1665078184184.csv,8
8,256,1200,4-way_set_associative,SLRU,matMul,1035,1205,0.462054,results/2022-10-06T1943/matMul/data/SLRU_A4_B1_C32_1665078184213.csv,8
8,256,1440,4-way_set_associative,FIFO,matMul,1318,1882,0.411875,results/2022-10-06T1943/matMul/data/FIFO_A4_B1_C32_1665078184317.csv,9
8,256,1440,4-way_set_associative,LFU,matMul,1241,1959,0.387813,results/2022-10-06T1943/matMul/data/LFU_A4_B1_C32_1665078184361.csv,9
8,256,1440,4-way_set_associative,MRU,matMul,1502,1698,0.469375,results/2022-10-06T1943/matMul/data/MRU_A4_B1_C32_1665078184395.csv,9
8,256,1440,4-way_set_associative,PLRU,matMul,1388,1812,0.433750,results/2022-10-06T1943/matMul/data/PLRU_A4_B1_C32_1665078184421.csv,9
8,256,1440,4-way_set_associative,SLRU,matMul,1479,1721,0.462187,results/2022-10-06T1943/matMul/data/SLRU_A4_B1_C32_1665078184446.csv,9
8,256,1152,4-way_set_associative,FIFO,matMul,1088,1472,0.425000,results/2022-10-06T1943/matMul/data/FIFO_A4_B1_C32_1665078184472.csv,10
8,256,1152,4-way_set_associative,LFU,matMul,919,1641,0.358984,results/2022-10-06T1943/matMul/data/LFU_A4_B1_C32_1665078184492.csv,10
8,256,1152,4-way_set_associative,MRU,matMul,1027,1533,0.401172,results/2022-10-06T1943/matMul/data/MRU_A4_B1_C32_1665078184521.csv,10
8,256,1152,4-way_set_associative,PLRU,matMul,1231,1329,0.480859,results/2022-10-06T1943/matMul/data/PLRU_A4_B1_C32_1665078184540.csv,10
8,256,1152,4-way_set_associative,SLRU,matMul,1200,1360,0.468750,results/2022-10-06T1943/matMul/data/SLRU_A4_B1_C32_1665078184559.csv,10
8,256,592,4-way_set_associative,FIFO,matMul,676,692,0.494152,results/2022-10-06T1943/matMul/data/FIFO_A4_B1_C32_1665078184584.csv,11
8,256,592,4-way_set_associative,LFU,matMul,595,773,0.434942,results/2022-10-06T1943/matMul/data/LFU_A4_B1_C32_1665078184593.csv,11
8,256,592,4-way_set_associative,MRU,matMul,883,485,0.645468,results/2022-10-06T1943/matMul/data/MRU_A4_B1_C32_1665078184609.csv,11
8,256,592,4-way_set_associative,PLRU,matMul,746,622,0.545322,results/2022-10-06T1943/matMul/data/PLRU_A4_B1_C32_1665078184621.csv,11
