blockSize_bytes,cacheSize_bytes,ramSize_bytes,placementPolicy,replacementPolicy,program,hits,misses,hitRatio,filename,group
8,256,840,4-way_set_associative,FIFO,matMul,804,996,0.446667,results/2022-10-06T1941/matMul/data/FIFO_A4_B1_C32_1665078103103.csv,0
8,256,840,4-way_set_associative,LFU,matMul,723,1077,0.401667,results/2022-10-06T1941/matMul/data/LFU_A4_B1_C32_1665078103120.csv,0
8,256,840,4-way_set_associative,MRU,matMul,912,888,0.506667,results/2022-10-06T1941/matMul/data/MRU_A4_B1_C32_1665078103141.csv,0
8,256,840,4-way_set_associative,PLRU,matMul,883,917,0.490556,results/2022-10-06T1941/matMul/data/PLRU_A4_B1_C32_1665078103157.csv,0
8,256,840,4-way_set_associative,SLRU,matMul,854,946,0.474444,results/2022-10-06T1941/matMul/data/SLRU_A4_B1_C32_1665078103172.csv,0
8,256,560,4-way_set_associative,FIFO,matMul,608,608,0.500000,results/2022-10-06T1941/matMul/data/FIFO_A4_B1_C32_1665078103193.csv,1
8,256,560,4-way_set_associative,LFU,matMul,584,632,0.480263,results/2022-10-06T1941/matMul/data/LFU_A4_B1_C32_1665078103202.csv,1
8,256,560,4-way_set_associative,MRU,matMul,806,410,0.662829,results/2022-10-06T1941/matMul/data/MRU_A4_B1_C32_1665078103213.csv,1
8,256,560,4-way_set_associative,PLRU,matMul,670,546,0.550987,results/2022-10-06T1941/matMul/data/PLRU_A4_B1_C32_1665078103223.csv,1
8,256,560,4-way_set_associative,SLRU,matMul,576,640,0.473684,results/2022-10-06T1941/matMul/data/SLRU_A4_B1_C32_1665078103230.csv,1
8,256,864,4-way_set_associative,FIFO,matMul,864,1080,0.444444,results/2022-10-06T1941/matMul/data/FIFO_A4_B1_C32_1665078103244.csv,2
8,256,864,4-way_set_associative,LFU,matMul,727,1217,0.373971,results/2022-10-06T1941/matMul/data/LFU_A4_B1_C32_1665078103258.csv,2
8,256,864,4-way_set_associative,MRU,matMul,962,982,0.494856,results/2022-10-06T1941/matMul/data/MRU_A4_B1_C32_1665078103277.csv,2
8,256,864,4-way_set_associative,PLRU,matMul,969,975,0.498457,results/2022-10-06T1941/matMul/data/PLRU_A4_B1_C32_1665078103292.csv,2
8,256,864,4-way_set_associative,SLRU,matMul,918,1026,0.472222,results/2022-10-06T1941/matMul/data/SLRU_A4_B1_C32_1665078103310.csv,2
8,256,816,4-way_set_associative,FIFO,matMul,765,969,0.441176,results/2022-10-06T1941/matMul/data/FIFO_A4_B1_C32_1665078103330.csv,3
8,256,816,4-way_set_associative,LFU,matMul,690,1044,0.397924,results/2022-10-06T1941/matMul/data/LFU_A4_B1_C32_1665078103344.csv,3
8,256,816,4-way_set_associative,MRU,matMul,941,793,0.542676,results/2022-10-06T1941/matMul/data/MRU_A4_B1_C32_1665078103362.csv,3
8,256,816,4-way_set_associative,PLRU,matMul,832,902,0.479815,results/2022-10-06T1941/matMul/data/PLRU_A4_B1_C32_1665078103375.csv,3
8,256,816,4-way_set_associative,SLRU,matMul,812,922,0.468281,results/2022-10-06T1941/matMul/data/SLRU_A4_B1_C32_1665078103389.csv,3
8,256,816,4-way_set_associative,FIFO,matMul,720,960,0.428571,results/2022-10-06T1941/matMul/data/FIFO_A4_B1_C32_1665078103402.csv,4
8,256,816,4-way_set_associative,LFU,matMul,606,1074,0.360714,results/2022-10-06T1941/matMul/data/LFU_A4_B1_C32_1665078103418.csv,4
8,256,816,4-way_set_associative,MRU,matMul,851,829,0.506548,results/2022-10-06T1941/matMul/data/MRU_A4_B1_C32_1665078103434.csv,4
8,256,816,4-way_set_associative,PLRU,matMul,837,843,0.498214,results/2022-10-06T1941/matMul/data/PLRU_A4_B1_C32_1665078103470.csv,4
8,256,816,4-way_set_associative,SLRU,matMul,780,900,0.464286,results/2022-10-06T1941/matMul/data/SLRU_A4_B1_C32_1665078103485.csv,4
8,256,528,4-way_set_associative,FIFO,matMul,584,496,0.540741,results/2022-10-06T1941/matMul/data/FIFO_A4_B1_C32_1665078103511.csv,5
8,256,528,4-way_set_associative,LFU,matMul,522,558,0.483333,results/2022-10-06T1941/matMul/data/LFU_A4_B1_C32_1665078103531.csv,5
8,256,528,4-way_set_associative,MRU,matMul,727,353,0.673148,results/2022-10-06T1941/matMul/data/MRU_A4_B1_C32_1665078103553.csv,5
8,256,528,4-way_set_associative,PLRU,matMul,642,438,0.594444,results/2022-10-06T1941/matMul/data/PLRU_A4_B1_C32_1665078103566.csv,5
8,256,528,4-way_set_associative,SLRU,matMul,510,570,0.472222,results/2022-10-06T1941/matMul/data/SLRU_A4_B1_C32_1665078103578.csv,5
8,256,896,4-way_set_associative,FIFO,matMul,672,896,0.428571,results/2022-10-06T1941/matMul/data/FIFO_A4_B1_C32_1665078103596.csv,6
8,256,896,4-way_set_associative,LFU,matMul,516,1052,0.329082,results/2022-10-06T1941/matMul/data/LFU_A4_B1_C32_1665078103616.csv,6
8,256,896,4-way_set_associative,MRU,matMul,629,939,0.401148,results/2022-10-06T1941/matMul/data/MRU_A4_B1_C32_1665078103637.csv,6
8,256,896,4-way_set_associative,PLRU,matMul,780,788,0.497449,results/2022-10-06T1941/matMul/data/PLRU_A4_B1_C32_1665078103652.csv,6
8,256,896,4-way_set_associative,SLRU,matMul,728,840,0.464286,results/2022-10-06T1941/matMul/data/SLRU_A4_B1_C32_1665078103666.csv,6
8,256,576,4-way_set_associative,FIFO,matMul,778,514,0.602167,results/2022-10-06T1941/matMul/data/FIFO_A4_B1_C32_1665078103685.csv,7
8,256,576,4-way_set_associative,LFU,matMul,612,680,0.473684,results/2022-10-06T1941/matMul/data/LFU_A4_B1_C32_1665078103700.csv,7
8,256,576,4-way_set_associative,MRU,matMul,886,406,0.685759,results/2022-10-06T1941/matMul/data/MRU_A4_B1_C32_1665078103717.csv,7
8,256,576,4-way_set_associative,PLRU,matMul,862,430,0.667183,results/2022-10-06T1941/matMul/data/PLRU_A4_B1_C32_1665078103729.csv,7
8,256,576,4-way_set_associative,SLRU,matMul,604,688,0.467492,results/2022-10-06T1941/matMul/data/SLRU_A4_B1_C32_1665078103741.csv,7
8,256,1320,4-way_set_associative,FIFO,matMul,1080,1620,0.400000,results/2022-10-06T1941/matMul/data/FIFO_A4_B1_C32_1665078103754.csv,8
8,256,1320,4-way_set_associative,LFU,matMul,684,2016,0.253333,results/2022-10-06T1941/matMul/data/LFU_A4_B1_C32_1665078103778.csv,8
8,256,1320,4-way_set_associative,MRU,matMul,861,1839,0.318889,results/2022-10-06T1941/matMul/data/MRU_A4_B1_C32_1665078103804.csv,8
8,256,1320,4-way_set_associative,PLRU,matMul,1320,1380,0.488889,results/2022-10-06T1941/matMul/data/PLRU_A4_B1_C32_1665078103819.csv,8
8,256,1320,4-way_set_associative,SLRU,matMul,1260,1440,0.466667,results/2022-10-06T1941/matMul/data/SLRU_A4_B1_C32_1665078103841.csv,8
8,256,496,4-way_set_associative,FIFO,matMul,698,262,0.727083,results/2022-10-06T1941/matMul/data/FIFO_A4_B1_C32_1665078103894.csv,9
8,256,496,4-way_set_associative,LFU,matMul,508,452,0.529167,results/2022-10-06T1941/matMul/data/LFU_A4_B1_C32_1665078103904.csv,9
8,256,496,4-way_set_associative,MRU,matMul,728,232,0.758333,results/2022-10-06T1941/matMul/data/MRU_A4_B1_C32_1665078103912.csv,9
8,256,496,4-way_set_associative,PLRU,matMul,744,216,0.775000,results/2022-10-06T1941/matMul/data/PLRU_A4_B1_C32_1665078103920.csv,9
8,256,496,4-way_set_associative,SLRU,matMul,448,512,0.466667,results/2022-10-06T1941/matMul/data/SLRU_A4_B1_C32_1665078103928.csv,9
8,256,1240,4-way_set_associative,FIFO,matMul,989,1411,0.412083,results/2022-10-06T1941/matMul/data/FIFO_A4_B1_C32_1665078103939.csv,10
8,256,1240,4-way_set_associative,LFU,matMul,951,1449,0.396250,results/2022-10-06T1941/matMul/data/LFU_A4_B1_C32_1665078103956.csv,10
8,256,1240,4-way_set_associative,MRU,matMul,1153,1247,0.480417,results/2022-10-06T1941/matMul/data/MRU_A4_B1_C32_1665078103978.csv,10
8,256,1240,4-way_set_associative,PLRU,matMul,1041,1359,0.433750,results/2022-10-06T1941/matMul/data/PLRU_A4_B1_C32_1665078104004.csv,10
8,256,1240,4-way_set_associative,SLRU,matMul,1108,1292,0.461667,results/2022-10-06T1941/matMul/data/SLRU_A4_B1_C32_1665078104024.csv,10
8,256,1088,4-way_set_associative,FIFO,matMul,960,1320,0.421053,results/2022-10-06T1941/matMul/data/FIFO_A4_B1_C32_1665078104074.csv,11
8,256,1088,4-way_set_associative,LFU,matMul,818,1462,0.358772,results/2022-10-06T1941/matMul/data/LFU_A4_B1_C32_1665078104090.csv,11
8,256,1088,4-way_set_associative,MRU,matMul,931,1349,0.408333,results/2022-10-06T1941/matMul/data/MRU_A4_B1_C32_1665078104115.csv,11
8,256,1088,4-way_set_associative,PLRU,matMul,1094,1186,0.479825,results/2022-10-06T1941/matMul/data/PLRU_A4_B1_C32_1665078104131.csv,11
8,256,1088,4-way_set_associative,SLRU,matMul,1073,1207,0.470614,results/2022-10-06T1941/matMul/data/SLRU_A4_B1_C32_1665078104148.csv,11
8,256,840,4-way_set_associative,FIFO,matMul,816,1008,0.447368,results/2022-10-06T1941/matMul/data/FIFO_A4_B1_C32_1665078104166.csv,12
8,256,840,4-way_set_associative,LFU,matMul,702,1122,0.384868,results/2022-10-06T1941/matMul/data/LFU_A4_B1_C32_1665078104180.csv,12
8,256,840,4-way_set_associative,MRU,matMul,835,989,0.457785,results/2022-10-06T1941/matMul/data/MRU_A4_B1_C32_1665078104197.csv,12
8,256,840,4-way_set_associative,PLRU,matMul,909,915,0.498355,results/2022-10-06T1941/matMul/data/PLRU_A4_B1_C32_1665078104213.csv,12
8,256,840,4-way_set_associative,SLRU,matMul,864,960,0.473684,results/2022-10-06T1941/matMul/data/SLRU_A4_B1_C32_1665078104227.csv,12
8,256,528,4-way_set_associative,FIFO,matMul,801,279,0.741667,results/2022-10-06T1941/matMul/data/FIFO_A4_B1_C32_1665078104244.csv,13
8,256,528,4-way_set_associative,LFU,matMul,602,478,0.557407,results/2022-10-06T1941/matMul/data/LFU_A4_B1_C32_1665078104254.csv,13
8,256,528,4-way_set_associative,MRU,matMul,819,261,0.758333,results/2022-10-06T1941/matMul/data/MRU_A4_B1_C32_1665078104266.csv,13
8,256,528,4-way_set_associative,PLRU,matMul,847,233,0.784259,results/2022-10-06T1941/matMul/data/PLRU_A4_B1_C32_1665078104275.csv,13
8,256,528,4-way_set_associative,SLRU,matMul,504,576,0.466667,results/2022-10-06T1941/matMul/data/SLRU_A4_B1_C32_1665078104282.csv,13
8,256,1248,4-way_set_associative,FIFO,matMul,1280,1760,0.421053,results/2022-10-06T1941/matMul/data/FIFO_A4_B1_C32_1665078104292.csv,14
8,256,1248,4-way_set_associative,LFU,matMul,1033,2007,0.339803,results/2022-10-06T1941/matMul/data/LFU_A4_B1_C32_1665078104313.csv,14
8,256,1248,4-way_set_associative,MRU,matMul,1249,1791,0.410855,results/2022-10-06T1941/matMul/data/MRU_A4_B1_C32_1665078104342.csv,14
8,256,1248,4-way_set_associative,PLRU,matMul,1459,1581,0.479934,results/2022-10-06T1941/matMul/data/PLRU_A4_B1_C32_1665078104364.csv,14
8,256,1248,4-way_set_associative,SLRU,matMul,1430,1610,0.470395,results/2022-10-06T1941/matMul/data/SLRU_A4_B1_C32_1665078104386.csv,14
8,256,840,4-way_set_associative,FIFO,matMul,816,1020,0.444444,results/2022-10-06T1941/matMul/data/FIFO_A4_B1_C32_1665078104415.csv,15
8,256,840,4-way_set_associative,LFU,matMul,696,1140,0.379085,results/2022-10-06T1941/matMul/data/LFU_A4_B1_C32_1665078104428.csv,15
8,256,840,4-way_set_associative,MRU,matMul,924,912,0.503268,results/2022-10-06T1941/matMul/data/MRU_A4_B1_C32_1665078104446.csv,15
8,256,840,4-way_set_associative,PLRU,matMul,915,921,0.498366,results/2022-10-06T1941/matMul/data/PLRU_A4_B1_C32_1665078104462.csv,15
8,256,840,4-way_set_associative,SLRU,matMul,867,969,0.472222,results/2022-10-06T1941/matMul/data/SLRU_A4_B1_C32_1665078104477.csv,15
8,256,496,4-way_set_associative,FIFO,matMul,660,300,0.687500,results/2022-10-06T1941/matMul/data/FIFO_A4_B1_C32_1665078104492.csv,16
8,256,496,4-way_set_associative,LFU,matMul,512,448,0.533333,results/2022-10-06T1941/matMul/data/LFU_A4_B1_C32_1665078104498.csv,16
8,256,496,4-way_set_associative,MRU,matMul,666,294,0.693750,results/2022-10-06T1941/matMul/data/MRU_A4_B1_C32_1665078104509.csv,16
