blockSize_bytes,cacheSize_bytes,ramSize_bytes,placementPolicy,replacementPolicy,program,hits,misses,hitRatio,filename,group
8,256,864,4-way_set_associative,FIFO,matMul,843,1077,0.439063,results/2022-10-06T1957/matMul/data/FIFO_A4_B1_C32_1665079044431.csv,0
8,256,864,4-way_set_associative,LFU,matMul,787,1133,0.409896,results/2022-10-06T1957/matMul/data/LFU_A4_B1_C32_1665079044450.csv,0
8,256,864,4-way_set_associative,MRU,matMul,992,928,0.516667,results/2022-10-06T1957/matMul/data/MRU_A4_B1_C32_1665079044480.csv,0
8,256,864,4-way_set_associative,PLRU,matMul,900,1020,0.468750,results/2022-10-06T1957/matMul/data/PLRU_A4_B1_C32_1665079044504.csv,0
8,256,864,4-way_set_associative,SLRU,matMul,892,1028,0.464583,results/2022-10-06T1957/matMul/data/SLRU_A4_B1_C32_1665079044533.csv,0
8,256,840,4-way_set_associative,FIFO,matMul,816,1020,0.444444,results/2022-10-06T1957/matMul/data/FIFO_A4_B1_C32_1665079044561.csv,1
8,256,840,4-way_set_associative,LFU,matMul,696,1140,0.379085,results/2022-10-06T1957/matMul/data/LFU_A4_B1_C32_1665079044583.csv,1
8,256,840,4-way_set_associative,MRU,matMul,924,912,0.503268,results/2022-10-06T1957/matMul/data/MRU_A4_B1_C32_1665079044611.csv,1
8,256,840,4-way_set_associative,PLRU,matMul,915,921,0.498366,results/2022-10-06T1957/matMul/data/PLRU_A4_B1_C32_1665079044634.csv,1
8,256,840,4-way_set_associative,SLRU,matMul,867,969,0.472222,results/2022-10-06T1957/matMul/data/SLRU_A4_B1_C32_1665079044655.csv,1
8,256,1024,4-way_set_associative,FIFO,matMul,840,1176,0.416667,results/2022-10-06T1957/matMul/data/FIFO_A4_B1_C32_1665079044682.csv,2
8,256,1024,4-way_set_associative,LFU,matMul,676,1340,0.335317,results/2022-10-06T1957/matMul/data/LFU_A4_B1_C32_1665079044705.csv,2
8,256,1024,4-way_set_associative,MRU,matMul,719,1297,0.356647,results/2022-10-06T1957/matMul/data/MRU_A4_B1_C32_1665079044736.csv,2
8,256,1024,4-way_set_associative,PLRU,matMul,1004,1012,0.498016,results/2022-10-06T1957/matMul/data/PLRU_A4_B1_C32_1665079044757.csv,2
8,256,1024,4-way_set_associative,SLRU,matMul,952,1064,0.472222,results/2022-10-06T1957/matMul/data/SLRU_A4_B1_C32_1665079044783.csv,2
8,256,1520,4-way_set_associative,FIFO,matMul,1505,2105,0.416898,results/2022-10-06T1957/matMul/data/FIFO_A4_B1_C32_1665079044808.csv,3
8,256,1520,4-way_set_associative,LFU,matMul,1100,2510,0.304709,results/2022-10-06T1957/matMul/data/LFU_A4_B1_C32_1665079044855.csv,3
8,256,1520,4-way_set_associative,MRU,matMul,1273,2337,0.352632,results/2022-10-06T1957/matMul/data/MRU_A4_B1_C32_1665079044923.csv,3
8,256,1520,4-way_set_associative,PLRU,matMul,1728,1882,0.478670,results/2022-10-06T1957/matMul/data/PLRU_A4_B1_C32_1665079044969.csv,3
8,256,1520,4-way_set_associative,SLRU,matMul,1696,1914,0.469806,results/2022-10-06T1957/matMul/data/SLRU_A4_B1_C32_1665079045020.csv,3
8,256,1024,4-way_set_associative,FIFO,matMul,860,1180,0.421569,results/2022-10-06T1957/matMul/data/FIFO_A4_B1_C32_1665079045066.csv,4
8,256,1024,4-way_set_associative,LFU,matMul,647,1393,0.317157,results/2022-10-06T1957/matMul/data/LFU_A4_B1_C32_1665079045086.csv,4
8,256,1024,4-way_set_associative,MRU,matMul,839,1201,0.411275,results/2022-10-06T1957/matMul/data/MRU_A4_B1_C32_1665079045113.csv,4
8,256,1024,4-way_set_associative,PLRU,matMul,1016,1024,0.498039,results/2022-10-06T1957/matMul/data/PLRU_A4_B1_C32_1665079045138.csv,4
8,256,1024,4-way_set_associative,SLRU,matMul,952,1088,0.466667,results/2022-10-06T1957/matMul/data/SLRU_A4_B1_C32_1665079045168.csv,4
8,256,1120,4-way_set_associative,FIFO,matMul,1020,1428,0.416667,results/2022-10-06T1957/matMul/data/FIFO_A4_B1_C32_1665079045199.csv,5
8,256,1120,4-way_set_associative,LFU,matMul,777,1671,0.317402,results/2022-10-06T1957/matMul/data/LFU_A4_B1_C32_1665079045225.csv,5
8,256,1120,4-way_set_associative,MRU,matMul,885,1563,0.361520,results/2022-10-06T1957/matMul/data/MRU_A4_B1_C32_1665079045264.csv,5
8,256,1120,4-way_set_associative,PLRU,matMul,1220,1228,0.498366,results/2022-10-06T1957/matMul/data/PLRU_A4_B1_C32_1665079045290.csv,5
8,256,1120,4-way_set_associative,SLRU,matMul,1156,1292,0.472222,results/2022-10-06T1957/matMul/data/SLRU_A4_B1_C32_1665079045316.csv,5
8,256,816,4-way_set_associative,FIFO,matMul,765,969,0.441176,results/2022-10-06T1957/matMul/data/FIFO_A4_B1_C32_1665079045344.csv,6
8,256,816,4-way_set_associative,LFU,matMul,690,1044,0.397924,results/2022-10-06T1957/matMul/data/LFU_A4_B1_C32_1665079045364.csv,6
