blockSize_bytes,cacheSize_bytes,ramSize_bytes,placementPolicy,replacementPolicy,program,hits,misses,hitRatio,filename,group
8,64,96,2-way_set_associative,FIFO,sort,184,42,0.814159,results/sort-A2/sort/data/FIFO_A2_B1_C8_1657115056377.csv,0
8,64,96,2-way_set_associative,LFU,sort,155,71,0.685841,results/sort-A2/sort/data/LFU_A2_B1_C8_1657115056379.csv,0
8,64,96,2-way_set_associative,LRU,sort,189,37,0.836283,results/sort-A2/sort/data/LRU_A2_B1_C8_1657115056383.csv,0
8,64,96,2-way_set_associative,MRU,sort,163,63,0.721239,results/sort-A2/sort/data/MRU_A2_B1_C8_1657115056386.csv,0
8,64,96,2-way_set_associative,PLRU,sort,189,37,0.836283,results/sort-A2/sort/data/PLRU_A2_B1_C8_1657115056389.csv,0
8,64,96,2-way_set_associative,SLRU,sort,188,38,0.831858,results/sort-A2/sort/data/SLRU_A2_B1_C8_1657115056391.csv,0
8,64,80,2-way_set_associative,FIFO,sort,95,19,0.833333,results/sort-A2/sort/data/FIFO_A2_B1_C8_1657115056395.csv,1
8,64,80,2-way_set_associative,LFU,sort,80,34,0.701754,results/sort-A2/sort/data/LFU_A2_B1_C8_1657115056396.csv,1
8,64,80,2-way_set_associative,LRU,sort,97,17,0.850877,results/sort-A2/sort/data/LRU_A2_B1_C8_1657115056398.csv,1
8,64,80,2-way_set_associative,MRU,sort,87,27,0.763158,results/sort-A2/sort/data/MRU_A2_B1_C8_1657115056400.csv,1
8,64,80,2-way_set_associative,PLRU,sort,97,17,0.850877,results/sort-A2/sort/data/PLRU_A2_B1_C8_1657115056401.csv,1
8,64,80,2-way_set_associative,SLRU,sort,86,28,0.754386,results/sort-A2/sort/data/SLRU_A2_B1_C8_1657115056404.csv,1
8,64,160,2-way_set_associative,FIFO,sort,394,186,0.679310,results/sort-A2/sort/data/FIFO_A2_B1_C8_1657115056407.csv,2
8,64,160,2-way_set_associative,LFU,sort,336,244,0.579310,results/sort-A2/sort/data/LFU_A2_B1_C8_1657115056413.csv,2
8,64,160,2-way_set_associative,LRU,sort,411,169,0.708621,results/sort-A2/sort/data/LRU_A2_B1_C8_1657115056423.csv,2
8,64,160,2-way_set_associative,MRU,sort,375,205,0.646552,results/sort-A2/sort/data/MRU_A2_B1_C8_1657115056430.csv,2
8,64,160,2-way_set_associative,PLRU,sort,411,169,0.708621,results/sort-A2/sort/data/PLRU_A2_B1_C8_1657115056437.csv,2
8,64,160,2-way_set_associative,SLRU,sort,424,156,0.731034,results/sort-A2/sort/data/SLRU_A2_B1_C8_1657115056443.csv,2
8,64,120,2-way_set_associative,FIFO,sort,239,87,0.733129,results/sort-A2/sort/data/FIFO_A2_B1_C8_1657115056449.csv,3
8,64,120,2-way_set_associative,LFU,sort,199,127,0.610429,results/sort-A2/sort/data/LFU_A2_B1_C8_1657115056452.csv,3
8,64,120,2-way_set_associative,LRU,sort,246,80,0.754601,results/sort-A2/sort/data/LRU_A2_B1_C8_1657115056455.csv,3
8,64,120,2-way_set_associative,MRU,sort,234,92,0.717791,results/sort-A2/sort/data/MRU_A2_B1_C8_1657115056458.csv,3
8,64,120,2-way_set_associative,PLRU,sort,246,80,0.754601,results/sort-A2/sort/data/PLRU_A2_B1_C8_1657115056460.csv,3
8,64,120,2-way_set_associative,SLRU,sort,258,68,0.791411,results/sort-A2/sort/data/SLRU_A2_B1_C8_1657115056462.csv,3
8,64,184,2-way_set_associative,FIFO,sort,464,258,0.642659,results/sort-A2/sort/data/FIFO_A2_B1_C8_1657115056467.csv,4
8,64,184,2-way_set_associative,LFU,sort,390,332,0.540166,results/sort-A2/sort/data/LFU_A2_B1_C8_1657115056473.csv,4
8,64,184,2-way_set_associative,LRU,sort,486,236,0.673130,results/sort-A2/sort/data/LRU_A2_B1_C8_1657115056480.csv,4
8,64,184,2-way_set_associative,MRU,sort,415,307,0.574792,results/sort-A2/sort/data/MRU_A2_B1_C8_1657115056485.csv,4
8,64,184,2-way_set_associative,PLRU,sort,486,236,0.673130,results/sort-A2/sort/data/PLRU_A2_B1_C8_1657115056490.csv,4
8,64,184,2-way_set_associative,SLRU,sort,509,213,0.704986,results/sort-A2/sort/data/SLRU_A2_B1_C8_1657115056495.csv,4
8,64,136,2-way_set_associative,FIFO,sort,303,123,0.711268,results/sort-A2/sort/data/FIFO_A2_B1_C8_1657115056502.csv,5
8,64,136,2-way_set_associative,LFU,sort,255,171,0.598592,results/sort-A2/sort/data/LFU_A2_B1_C8_1657115056504.csv,5
8,64,136,2-way_set_associative,LRU,sort,313,113,0.734742,results/sort-A2/sort/data/LRU_A2_B1_C8_1657115056508.csv,5
8,64,136,2-way_set_associative,MRU,sort,279,147,0.654930,results/sort-A2/sort/data/MRU_A2_B1_C8_1657115056511.csv,5
8,64,136,2-way_set_associative,PLRU,sort,313,113,0.734742,results/sort-A2/sort/data/PLRU_A2_B1_C8_1657115056515.csv,5
8,64,136,2-way_set_associative,SLRU,sort,326,100,0.765258,results/sort-A2/sort/data/SLRU_A2_B1_C8_1657115056519.csv,5
8,64,144,2-way_set_associative,FIFO,sort,325,143,0.694444,results/sort-A2/sort/data/FIFO_A2_B1_C8_1657115056524.csv,6
8,64,144,2-way_set_associative,LFU,sort,271,197,0.579060,results/sort-A2/sort/data/LFU_A2_B1_C8_1657115056527.csv,6
8,64,144,2-way_set_associative,LRU,sort,338,130,0.722222,results/sort-A2/sort/data/LRU_A2_B1_C8_1657115056532.csv,6
8,64,144,2-way_set_associative,MRU,sort,293,175,0.626068,results/sort-A2/sort/data/MRU_A2_B1_C8_1657115056536.csv,6
8,64,144,2-way_set_associative,PLRU,sort,338,130,0.722222,results/sort-A2/sort/data/PLRU_A2_B1_C8_1657115056541.csv,6
8,64,144,2-way_set_associative,SLRU,sort,349,119,0.745726,results/sort-A2/sort/data/SLRU_A2_B1_C8_1657115056546.csv,6
8,64,208,2-way_set_associative,FIFO,sort,633,341,0.649897,results/sort-A2/sort/data/FIFO_A2_B1_C8_1657115056553.csv,7
8,64,208,2-way_set_associative,LFU,sort,537,437,0.551335,results/sort-A2/sort/data/LFU_A2_B1_C8_1657115056564.csv,7
8,64,208,2-way_set_associative,LRU,sort,664,310,0.681725,results/sort-A2/sort/data/LRU_A2_B1_C8_1657115056580.csv,7
8,64,208,2-way_set_associative,MRU,sort,612,362,0.628337,results/sort-A2/sort/data/MRU_A2_B1_C8_1657115056592.csv,7
8,64,208,2-way_set_associative,PLRU,sort,664,310,0.681725,results/sort-A2/sort/data/PLRU_A2_B1_C8_1657115056603.csv,7
8,64,208,2-way_set_associative,SLRU,sort,682,292,0.700205,results/sort-A2/sort/data/SLRU_A2_B1_C8_1657115056610.csv,7
8,64,184,2-way_set_associative,FIFO,sort,466,258,0.643646,results/sort-A2/sort/data/FIFO_A2_B1_C8_1657115056621.csv,8
