blockSize_bytes,cacheSize_bytes,ramSize_bytes,placementPolicy,replacementPolicy,program,hits,misses,hitRatio,filename,group
8,256,720,4-way_set_associative,FIFO,matMul,49,221,0.181481,results/2022-07-12T2142/matMul/data/FIFO_A4_B1_C32_1657654948315.csv,0
8,256,720,4-way_set_associative,LFU,matMul,28,242,0.103704,results/2022-07-12T2142/matMul/data/LFU_A4_B1_C32_1657654948318.csv,0
8,256,720,4-way_set_associative,MRU,matMul,101,169,0.374074,results/2022-07-12T2142/matMul/data/MRU_A4_B1_C32_1657654948322.csv,0
8,256,720,4-way_set_associative,PLRU,matMul,72,198,0.266667,results/2022-07-12T2142/matMul/data/PLRU_A4_B1_C32_1657654948325.csv,0
8,256,720,4-way_set_associative,SLRU,matMul,0,270,0.000000,results/2022-07-12T2142/matMul/data/SLRU_A4_B1_C32_1657654948329.csv,0
8,256,1368,4-way_set_associative,FIFO,matMul,64,696,0.084211,results/2022-07-12T2142/matMul/data/FIFO_A4_B1_C32_1657654948374.csv,1
8,256,1368,4-way_set_associative,LFU,matMul,50,710,0.065789,results/2022-07-12T2142/matMul/data/LFU_A4_B1_C32_1657654948384.csv,1
8,256,1368,4-way_set_associative,MRU,matMul,145,615,0.190789,results/2022-07-12T2142/matMul/data/MRU_A4_B1_C32_1657654948393.csv,1
8,256,1368,4-way_set_associative,PLRU,matMul,76,684,0.100000,results/2022-07-12T2142/matMul/data/PLRU_A4_B1_C32_1657654948402.csv,1
8,256,1368,4-way_set_associative,SLRU,matMul,0,760,0.000000,results/2022-07-12T2142/matMul/data/SLRU_A4_B1_C32_1657654948412.csv,1
8,256,896,4-way_set_associative,FIFO,matMul,60,260,0.187500,results/2022-07-12T2142/matMul/data/FIFO_A4_B1_C32_1657654948476.csv,2
8,256,896,4-way_set_associative,LFU,matMul,58,262,0.181250,results/2022-07-12T2142/matMul/data/LFU_A4_B1_C32_1657654948480.csv,2
8,256,896,4-way_set_associative,MRU,matMul,61,259,0.190625,results/2022-07-12T2142/matMul/data/MRU_A4_B1_C32_1657654948485.csv,2
8,256,896,4-way_set_associative,PLRU,matMul,92,228,0.287500,results/2022-07-12T2142/matMul/data/PLRU_A4_B1_C32_1657654948489.csv,2
8,256,896,4-way_set_associative,SLRU,matMul,0,320,0.000000,results/2022-07-12T2142/matMul/data/SLRU_A4_B1_C32_1657654948493.csv,2
8,256,896,4-way_set_associative,FIFO,matMul,80,340,0.190476,results/2022-07-12T2142/matMul/data/FIFO_A4_B1_C32_1657654948528.csv,3
