blockSize_bytes,cacheSize_bytes,ramSize_bytes,placementPolicy,replacementPolicy,program,hits,misses,hitRatio,filename,group
8,256,264,2-way_set_associative,FIFO,matMul,147,33,0.816667,results/matMul-A2/matMul/data/FIFO_A2_B1_C32_1657116633500.csv,0
8,256,264,2-way_set_associative,LFU,matMul,147,33,0.816667,results/matMul-A2/matMul/data/LFU_A2_B1_C32_1657116633503.csv,0
8,256,264,2-way_set_associative,LRU,matMul,147,33,0.816667,results/matMul-A2/matMul/data/LRU_A2_B1_C32_1657116633506.csv,0
8,256,264,2-way_set_associative,MRU,matMul,146,34,0.811111,results/matMul-A2/matMul/data/MRU_A2_B1_C32_1657116633508.csv,0
8,256,264,2-way_set_associative,PLRU,matMul,147,33,0.816667,results/matMul-A2/matMul/data/PLRU_A2_B1_C32_1657116633510.csv,0
8,256,264,2-way_set_associative,SLRU,matMul,143,37,0.794444,results/matMul-A2/matMul/data/SLRU_A2_B1_C32_1657116633512.csv,0
8,256,720,2-way_set_associative,FIFO,matMul,305,223,0.577652,results/matMul-A2/matMul/data/FIFO_A2_B1_C32_1657116633516.csv,1
8,256,720,2-way_set_associative,LFU,matMul,228,300,0.431818,results/matMul-A2/matMul/data/LFU_A2_B1_C32_1657116633522.csv,1
8,256,720,2-way_set_associative,LRU,matMul,319,209,0.604167,results/matMul-A2/matMul/data/LRU_A2_B1_C32_1657116633529.csv,1
8,256,720,2-way_set_associative,MRU,matMul,231,297,0.437500,results/matMul-A2/matMul/data/MRU_A2_B1_C32_1657116633533.csv,1
8,256,720,2-way_set_associative,PLRU,matMul,319,209,0.604167,results/matMul-A2/matMul/data/PLRU_A2_B1_C32_1657116633537.csv,1
8,256,720,2-way_set_associative,SLRU,matMul,256,272,0.484848,results/matMul-A2/matMul/data/SLRU_A2_B1_C32_1657116633542.csv,1
8,256,640,2-way_set_associative,FIFO,matMul,358,434,0.452020,results/matMul-A2/matMul/data/FIFO_A2_B1_C32_1657116633549.csv,2
8,256,640,2-way_set_associative,LFU,matMul,319,473,0.402778,results/matMul-A2/matMul/data/LFU_A2_B1_C32_1657116633558.csv,2
8,256,640,2-way_set_associative,LRU,matMul,376,416,0.474747,results/matMul-A2/matMul/data/LRU_A2_B1_C32_1657116633569.csv,2
8,256,640,2-way_set_associative,MRU,matMul,415,377,0.523990,results/matMul-A2/matMul/data/MRU_A2_B1_C32_1657116633578.csv,2
8,256,640,2-way_set_associative,PLRU,matMul,376,416,0.474747,results/matMul-A2/matMul/data/PLRU_A2_B1_C32_1657116633583.csv,2
8,256,640,2-way_set_associative,SLRU,matMul,352,440,0.444444,results/matMul-A2/matMul/data/SLRU_A2_B1_C32_1657116633588.csv,2
